Salton_Sea_Tracts,Total_Minutes
1500000US060250123021,64.73776234
1500000US060250123022,64.41452138
1500000US060250124001,56.1711356
1500000US060250123023,50.02460353
1500000US060250123011,74.57351919
1500000US060250124002,100.3130736
1500000US060250101021,45.13083025
1500000US060250102001,32.87377467
Average_Time,61.02990257
,
From_GEO_ID,Total_Minutes
1500000US060250121004,12.98652983
1500000US060250122001,13.98393576
1500000US060250122002,13.06080148
1500000US060250122003,14.03671258
1500000US060250122004,13.2275464
1500000US060250101022,32.69434158
1500000US060250101024,32.24795476
1500000US060250104001,21.2240184
1500000US060250104004,22.11089267
1500000US060250105002,19.22370663
1500000US060250106003,19.20884692
1500000US060250107002,20.41078924
1500000US060250109002,17.70911887
1500000US060250109004,14.92208346
1500000US060250110002,8.27254789
1500000US060250111003,10.05751896
1500000US060250113003,8.39603893
1500000US060250114002,3.30057411
1500000US060250115002,3.03792503
1500000US060250116001,0.93005216
1500000US060250117001,3.38460241
1500000US060250118011,2.37197273
1500000US060250118023,1.28087642
1500000US060250120011,15.87105631
1500000US060250120012,15.14623867
1500000US060250121002,13.28961217
1500000US060250123012,26.13504011
1500000US060259400001,64.55076155
1500000US060259400002,56.80278287
1500000US060259400003,53.01802319
1500000US060250101011,38.82661096
1500000US060250101023,31.80204696
1500000US060250102002,25.87325261
1500000US060250103001,30.89046029
1500000US060250104002,21.50205996
1500000US060250104003,20.49916192
1500000US060250104005,22.62671229
1500000US060250105001,21.46079185
1500000US060250105003,21.8644928
1500000US060250105004,20.43591502
1500000US060250106001,18.3215681
1500000US060250106002,18.55713646
1500000US060250106004,17.16276242
1500000US060250107001,20.13837966
1500000US060250107003,20.55224629
1500000US060250108001,25.50490789
1500000US060250108002,15.33629469
1500000US060250109001,14.65052299
1500000US060250109003,16.18255553
1500000US060250109005,14.66941726
1500000US060250109006,15.01387061
1500000US060250110001,9.08581818
1500000US060250110003,7.64219521
1500000US060250110004,7.54616821
1500000US060250110005,10.30907786
1500000US060250110006,15.44799342
1500000US060250111001,11.57928113
1500000US060250111002,9.24616847
1500000US060250112011,4.49493852
1500000US060250112012,6.82358985
1500000US060250112023,3.80832574
1500000US060250113002,3.6130507
1500000US060250113004,9.08363001
1500000US060250114001,7.02704133
1500000US060250114003,4.91117709
1500000US060250115001,3.05712003
1500000US060250115003,4.10416902
1500000US060250115004,3.94777274
1500000US060250116002,2.85736451
1500000US060250116003,1.87826087
1500000US060250116004,1.99503766
1500000US060250117002,1.41551416
1500000US060250117003,1.88988941
1500000US060250118012,3.061628
1500000US060250118021,2.81102755
1500000US060250118022,1.76976551
1500000US060250118024,1.0806761
1500000US060250118031,3.90944366
1500000US060250119001,10.18835949
1500000US060250119002,18.11038362
1500000US060250119003,12.28267752
1500000US060250120021,15.51327634
1500000US060250120022,14.44483925
1500000US060250121001,12.44692112
1500000US060250121003,14.6116186
1500000US060250113001,7.32039814
1500000US060250112021,2.641506
1500000US060250112022,4.14292068
Average_Time,14.32798971
