GEOID,RAAM
6025010101,1.495999098
6025010102,1.368140064
6025010200,1.085862032
6025010300,0.987638022
6025010400,0.931230185
6025010500,0.820265946
6025010600,0.908333028
6025010700,0.94483182
6025010800,1.446084828
6025010900,1.509397397
6025011000,1.264119816
6025011100,1.409279174
6025011201,1.305325049
6025011202,1.257675205
6025011300,1.248480519
6025011400,1.214163348
6025011500,1.219062682
6025011600,1.182075222
6025011700,1.116584251
6025011801,1.242637664
6025011802,1.209640547
6025011803,1.19432298
6025011900,1.467686684
6025012001,1.469635172
6025012002,1.48832663
6025012100,1.411392098
6025012200,1.447475569
6025012301,1.865579672
6025012302,2.083121227
6025012400,2.497070649
6025940000,2.373448732
